"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","location","lon","lat","period"
"4410",4410,2359,3609,"MN","Stillwater","Stillwater Library","Socl",1859,NA,NA,1899,NA,0,NA,0,"Stillwater MN",-92.8088443,45.056004,"Antebellum"
"4411",4411,2360,3610,"MN","Stillwater","Library Assoc.","Socl",1869,NA,1884,NA,1875,660,1875,660,"Stillwater MN",-92.8088443,45.056004,NA
"4412",4412,3706,12381,"MN","Stillwater","YMCA Library","YMCA",1858,NA,1858,NA,NA,0,NA,0,"Stillwater MN",-92.8088443,45.056004,"Antebellum"
"4413",4413,3944,12378,"MN","Stillwater","Catholic Temperance Free Reading Room","Rel socy",1874,NA,1874,NA,NA,0,NA,0,"Stillwater MN",-92.8088443,45.056004,NA
"4414",4414,6804,3608,"MN","Stillwater","State Prison","Prison",1853,NA,1884,NA,1875,596,1875,596,"Stillwater MN",-92.8088443,45.056004,"Antebellum"
"4415",4415,2362,3611,"MN","Taylor's Falls","Taylor's Falls Library Assoc.","Socl",1871,NA,1871,NA,NA,0,NA,0,"Taylor's Falls MN",-92.6524292,45.4019062,NA
"4416",4416,2361,12382,"MN","Taylor's Falls","Taylor's Falls Subscription Library","Socl",1864,NA,1864,NA,NA,0,NA,0,"Taylor's Falls MN",-92.6524292,45.4019062,NA
"4417",4417,462,3612,"MN","Taylor's Falls","Young Men's Literary Assoc. Of Taylor's Falls","YMA",1857,NA,1857,NA,NA,0,NA,0,"Taylor's Falls MN",-92.6524292,45.4019062,"Antebellum"
"4418",4418,2925,2241,"MN","Union","Young Men's Library","Young Men's",1814,NA,1814,NA,NA,0,NA,0,"Union MN",80.1861393,13.1405516,"Early National"
"4419",4419,2845,3613,"MN","Wabasha","Wabasha Ladies' Library Assoc.","Ladies",1870,NA,1873,NA,NA,0,NA,0,"Wabasha MN",-92.0382346,44.3710051,NA
"4420",4420,2363,12384,"MN","Wabasha","Subscription Library","Socl",1871,NA,1871,NA,NA,0,NA,0,"Wabasha MN",-92.0382346,44.3710051,NA
"4421",4421,4354,12383,"MN","Wabasha","Literary Assoc.","Lit socy",1859,NA,1859,NA,NA,0,NA,0,"Wabasha MN",-92.0382346,44.3710051,"Antebellum"
"4422",4422,2364,12385,"MN","Waseca","Waseca County Library","Socl",1871,NA,1871,NA,NA,0,NA,0,"Waseca MN",-93.5083843,44.0770411,NA
"4423",4423,2365,12386,"MN","White Bear","White Bear Library Assoc.","Socl",1875,NA,1875,NA,NA,0,NA,0,"White Bear MN",-93.0209542,45.0960716,NA
"4424",4424,3455,3615,"MN","Winona","Winona Lyceum","Lyceum",1857,NA,NA,1862,NA,0,NA,0,"Winona MN",-91.6663523,44.0553908,"Antebellum"
"4425",4425,2972,3617,"MN","Winona","Winona Young Men's Library Assoc.","YMLA",1863,NA,1867,NA,NA,0,NA,0,"Winona MN",-91.6663523,44.0553908,NA
"4426",4426,463,3616,"MN","Winona","Young Men's Assoc. Of Winona","YMA",1856,NA,1856,NA,NA,0,NA,0,"Winona MN",-91.6663523,44.0553908,"Antebellum"
"4427",4427,2366,3614,"MN","Winona","Winona Free Library","Socl",1862,NA,1884,NA,1875,2000,1875,2000,"Winona MN",-91.6663523,44.0553908,NA
"4428",4428,4749,3545,"MN","Winona","Farmers's Club of Warren (Winona Co.)","Agri socl",1856,1859,1859,NA,1859,35,1859,35,"Winona MN",-91.6663523,44.0553908,"Antebellum"
"4429",4429,2367,12387,"MN","Worthington","Library Assoc.","Socl",1873,NA,1873,NA,NA,0,NA,0,"Worthington MN",-95.5941436,43.6210985,NA
"4430",4430,2370,3618,"MN","Zumbrota","Zumbrota Public Library Assoc.","Socl",1868,NA,1868,NA,NA,0,NA,0,"Zumbrota MN",-92.6690806,44.294132,NA
"4431",4431,2369,12389,"MN","Zumbrota","Public Library Assoc.","Socl",1868,NA,1868,NA,NA,0,NA,0,"Zumbrota MN",-92.6690806,44.294132,NA
"4432",4432,2368,12388,"MN","Zumbrota","Literary and Library Assoc.","Socl",1868,NA,1868,NA,NA,0,NA,0,"Zumbrota MN",-92.6690806,44.294132,NA
"4433",4433,6337,3648,"MO","Barrens","St. Mary's College","Coll",1820,NA,1845,NA,1845,6000,1845,6000,"Barrens MO",-92.4065058,38.0919333,"Early National"
"4434",4434,4077,3650,"MO","Boonville","Turners' Society","Socl",NA,1875,1875,NA,1875,500,1875,500,"Boonville MO",-92.7432418,38.9736392,NA
"4435",4435,4078,3649,"MO","Boonville","Turn and Gesang Verien","Socl",1859,NA,1884,NA,NA,0,NA,0,"Boonville MO",-92.7432418,38.9736392,"Antebellum"
"4436",4436,4792,3647,"MO","Bowling Green","Pike County Agricultural and Mechanical Society","Agri socl",1854,1859,1859,NA,NA,0,NA,0,"Bowling Green MO",-91.1951437,39.3419891,"Antebellum"
"4437",4437,2392,3651,"MO","Brunswick","Library Assoc.","Socl",1871,NA,1884,NA,1875,500,1875,500,"Brunswick MO",-93.1304782,39.4233576,NA
"4438",4438,2393,3652,"MO","Canton","Canton Library","Socl",1874,NA,1875,NA,1875,500,1875,500,"Canton MO",-91.5257042,40.130142,NA
"4439",4439,5368,3654,"MO","Canton","Risk's Library","Comm",1865,NA,1884,NA,1875,483,1875,483,"Canton MO",-91.5257042,40.130142,NA
"4440",4440,6353,3653,"MO","Canton","Christian University","Coll",1875,NA,1875,NA,1875,300,1875,300,"Canton MO",-91.5257042,40.130142,NA
"4441",4441,6338,3655,"MO","Cape Girardeau","St. Mary's College Library","Coll",NA,1845,1850,NA,1845,3500,1850,2400,"Cape Girardeau MO",-89.5181476,37.3058839,NA
"4442",4442,6339,3656,"MO","Cape Girardequ","St. Vincent's College","Coll",1844,NA,1884,NA,1857,5000,1875,5500,"Cape Girardequ MO",-89.5181476,37.3058839,"Antebellum"
"4443",4443,2394,3657,"MO","Carondelet City","Carondelet Library Association","Socl",NA,1859,1859,NA,NA,0,NA,0,"Carondelet City MO",-90.2549631,38.5556397,NA
"4444",4444,5367,3658,"MO","Carrollton","Hill and Gitting's Circulating Library","Comm",NA,1875,1875,NA,1875,600,1875,600,"Carrollton MO",-93.4957675,39.3583539,NA
"4445",4445,6340,3659,"MO","College Mound","McGee College","Coll",1853,NA,1875,NA,1875,575,1875,575,"College Mound MO",-92.5726866,39.6230877,"Antebellum"
"4446",4446,2395,12407,"MO","Columbia","The Columbia Library","Socl",1866,NA,1878,NA,NA,0,NA,0,"Columbia MO",-92.3340724,38.9517053,NA
"4447",4447,2396,12408,"MO","Columbia","Columbia Library Assoc.","Socl",NA,1858,1858,NA,NA,0,NA,0,"Columbia MO",-92.3340724,38.9517053,NA
"4448",4448,6335,3662,"MO","Columbia","University of Missouri","Law coll",1872,NA,1884,NA,1875,1000,1875,1000,"Columbia MO",-92.3340724,38.9517053,NA
"4449",4449,6341,3660,"MO","Columbia","University of Missouri","Coll",1844,NA,1884,NA,1850,675,1875,10000,"Columbia MO",-92.3340724,38.9517053,"Antebellum"
"4450",4450,6329,12409,"MO","Columbia","University of Missouri School of Medicine Library","Med coll",1862,NA,1957,NA,NA,0,NA,0,"Columbia MO",-92.3340724,38.9517053,NA
"4451",4451,5811,3661,"MO","Columbia","University of Missouri - Athenian Society","Coll socy",NA,1850,1884,NA,1850,200,1875,1200,"Columbia MO",-92.3340724,38.9517053,NA
"4452",4452,5810,3663,"MO","Columbia","University of Missouri - Union Literary Society","Coll socy",NA,1850,1884,NA,1850,325,1875,1200,"Columbia MO",-92.3340724,38.9517053,NA
"4453",4453,2397,12410,"MO","Fayette","Fayette Circulating Library","Socl",1826,NA,1826,NA,NA,0,NA,0,"Fayette MO",-92.6837943,39.1458654,"Early National"
"4454",4454,5809,3665,"MO","Fayette","Central College - Aristotelian Society","Coll socy",NA,NA,NA,NA,NA,0,NA,0,"Fayette MO",-92.6837943,39.1458654,NA
"4455",4455,6354,3664,"MO","Fayette","Central College","Coll",1871,NA,1884,NA,1875,500,1875,500,"Fayette MO",-92.6837943,39.1458654,NA
"4456",4456,5808,3666,"MO","Fayette","Central College - Phi Alpha Society","Coll socy",NA,NA,NA,NA,NA,0,NA,0,"Fayette MO",-92.6837943,39.1458654,NA
"4457",4457,2398,3667,"MO","Franklin","Franklin Library Co.","Socl",1819,NA,1819,NA,NA,0,NA,0,"Franklin MO",-92.7532411,39.0116954,"Early National"
"4458",4458,7007,3668,"MO","Fulton","Deaf and Dumb Asylum","Asylum",1853,NA,1858,NA,1858,150,1858,150,"Fulton MO",-91.9479586,38.8467082,"Antebellum"
"4459",4459,7005,3669,"MO","Fulton","State Lunatic Asylum","Asylum",1855,NA,1884,NA,1858,500,1875,550,"Fulton MO",-91.9479586,38.8467082,"Antebellum"
"4460",4460,5806,3672,"MO","Fulton","Westminster College - Philologic Society","Coll socy",NA,1858,1858,NA,1858,300,1858,300,"Fulton MO",-91.9479586,38.8467082,NA
"4461",4461,6342,3670,"MO","Fulton","Westminster College","Coll",1853,NA,1884,NA,1856,400,1875,5000,"Fulton MO",-91.9479586,38.8467082,"Antebellum"
"4462",4462,6355,3673,"MO","Fulton","Lewis College","Coll",1867,NA,1884,NA,1870,2000,1875,3000,"Fulton MO",-91.9479586,38.8467082,NA
"4463",4463,5807,3671,"MO","Fulton","Westminster College - Philalthian Society","Coll socy",NA,1858,1858,NA,1858,300,1858,300,"Fulton MO",-91.9479586,38.8467082,NA
"4464",4464,2399,3674,"MO","Glasgow","Public Library","Socl",1867,NA,1948,NA,NA,0,NA,0,"Glasgow MO",-92.8465757,39.2272513,NA
"4465",4465,6356,3675,"MO","Greenwood","Lincoln College","Coll",1869,NA,1875,NA,1875,500,1875,500,"Greenwood MO",-94.3438378,38.8516751,NA
"4466",4466,3268,3677,"MO","Hannibal","Mercantile Library Assoc.","Merc",1871,NA,1915,NA,1875,2219,1875,2219,"Hannibal MO",-91.3584816,39.7083789,NA
"4467",4467,2400,12411,"MO","Hannibal","Garth Memorial Library","Socl",1871,NA,1871,NA,NA,0,NA,0,"Hannibal MO",-91.3584816,39.7083789,NA
"4468",4468,2401,3676,"MO","Hannibal","Hannibal Literary Institute","Socl",1844,NA,1889,NA,1855,425,1855,425,"Hannibal MO",-91.3584816,39.7083789,"Antebellum"
"4469",4469,4793,3678,"MO","Hillsboro","Jefferson County Horticultural Society","Agri socl",1865,1867,1867,NA,1867,100,1867,100,"Hillsboro MO",-90.5629034,38.2322766,NA
"4470",4470,2402,3679,"MO","Independence","Library Assoc.","Socl",NA,1871,1884,NA,1875,1100,1875,1100,"Independence MO",-94.4155068,39.0911161,NA
"4471",4471,7809,3682,"MO","Jefferson City","State Library","State",1833,NA,1884,NA,1850,4637,1875,33000,"Jefferson City MO",-92.1735164,38.5767017,"Antebellum"
"4472",4472,4496,3680,"MO","Jefferson City","Historical and Philosophical Society of Missouri","Hist socl",1844,NA,1851,NA,1850,300,1851,300,"Jefferson City MO",-92.1735164,38.5767017,"Antebellum"
"4473",4473,6810,3681,"MO","Jefferson City","Missouri Penitentiary","Prison",NA,1858,1858,NA,1858,630,1858,630,"Jefferson City MO",-92.1735164,38.5767017,NA
"4474",4474,7700,12412,"MO","Jefferson?","Jefferson Barracks Company Library","Garr",NA,1870,1870,NA,1870,94,1870,94,"Jefferson? MO",-90.5257823,38.2310301,NA
"4475",4475,2403,3685,"MO","Kansas City","Kansas City Public Library","Socl",1875,NA,1884,NA,NA,0,NA,0,"Kansas City MO",-94.5785667,39.0997265,NA
"4476",4476,5365,3687,"MO","Kansas City","Whittemore's Circulating Library","Comm",1875,NA,1875,NA,1875,1000,1875,1000,"Kansas City MO",-94.5785667,39.0997265,NA
"4477",4477,4378,3686,"MO","Kansas City","Kansas City Bar Library Assoc.","Bar",1871,NA,1915,NA,1875,3000,1875,3000,"Kansas City MO",-94.5785667,39.0997265,NA
"4478",4478,4794,3684,"MO","Kansas City","Kansas City Horticultural Society","Agri socl",1863,1867,1867,NA,1867,23,1867,23,"Kansas City MO",-94.5785667,39.0997265,NA
"4479",4479,5366,3683,"MO","Kansas City","The Fetterman's Circulating Library","Comm",1875,NA,1884,NA,1875,1300,1875,1300,"Kansas City MO",-94.5785667,39.0997265,NA
"4480",4480,6357,3688,"MO","Kidder","Thayer College","Coll",1871,NA,1875,NA,1875,400,1875,400,"Kidder MO",-94.1024439,39.7802827,NA
"4481",4481,6358,3689,"MO","La Grange","La Grange College","Coll",1866,NA,1884,NA,NA,0,NA,0,"La Grange MO",-91.4976544,40.0428236,NA
"4482",4482,6320,3691,"MO","Lexington","Military and Collegiate Institute","Mil acad",1866,NA,1870,NA,1870,100,1870,100,"Lexington MO",-93.8799426,39.1847339,NA
"4483",4483,6343,3690,"MO","Lexington","Masonic College","Coll",1843,NA,1859,NA,1858,1600,1858,1600,"Lexington MO",-93.8799426,39.1847339,"Antebellum"
"4484",4484,6344,3694,"MO","Liberty","William Jewell College","Coll",1854,NA,1915,NA,1858,4000,1875,4000,"Liberty MO",-94.4191177,39.2461138,"Antebellum"
"4485",4485,4795,3692,"MO","Liberty","Clay County Agricultural and Mechancis","Agri socl",1859,1867,1867,NA,1867,153,1867,153,"Liberty MO",-94.4191177,39.2461138,"Antebellum"
"4486",4486,6333,3693,"MO","Liberty","Vanderman School of Theology","Theo coll",1868,NA,1870,NA,1870,5000,1870,5000,"Liberty MO",-94.4191177,39.2461138,NA
"4487",4487,2404,3695,"MO","Maryville","Library and Lecture Assoc.","Socl",1870,NA,1884,NA,NA,0,NA,0,"Maryville MO",-94.8724706,40.3461017,NA
"4488",4488,4796,3696,"MO","May View","Library Society and Farmers' Club","Agri socl",1867,NA,1867,NA,1867,125,1867,125,"May View MO",-93.8304979,39.0530655,NA
"4489",4489,6336,3697,"MO","Mexico","Hardin Female College","Coll",1873,NA,1884,NA,NA,0,NA,0,"Mexico MO",-91.887271,39.1730652,NA
"4490",4490,2405,3698,"MO","Moberly","Moberly Library Assoc.","Socl",1872,NA,1915,NA,NA,0,NA,0,"Moberly MO",-92.4382367,39.4183689,NA
"4491",4491,3532,3699,"MO","Oregon","Woman's Union Library","Ladies' socy",1868,NA,1884,NA,NA,0,NA,0,"Oregon MO",-95.1449753,39.9869407,NA
"4492",4492,6345,3700,"MO","Palmyra","Masonic College Library","Coll",NA,1850,1850,NA,1850,2500,1850,2500,"Palmyra MO",-91.5232106,39.7942118,NA
"4493",4493,6346,37001,"MO","Palmyra","St. Charles College Library","Coll",NA,1850,1850,NA,1850,390,1850,390,"Palmyra MO",-91.5232106,39.7942118,NA
"4494",4494,6321,3702,"MO","Parkville","Park College","Coll",1875,NA,1884,NA,NA,0,NA,0,"Parkville MO",-94.6821806,39.1950029,NA
"4495",4495,6330,3703,"MO","Rolla","Missouri School of Mines and Metallurgy","Sci eng coll",1871,NA,1884,NA,1875,1478,1875,1478,"Rolla MO",-91.7715303,37.948544,NA
"4496",4496,2410,3759,"MO","Sedalia","Library Assoc.","Socl",1871,NA,1875,NA,1875,1500,1875,1500,"Sedalia MO",-93.2282613,38.7044609,NA
"4497",4497,6323,3760,"MO","Springfield","Drury College","Coll",1873,NA,1884,NA,1875,2000,1875,2000,"Springfield MO",-93.2922989,37.2089572,NA
"4498",4498,4277,3718,"MO","St Louis","Germania saengerbund","Music socy",1857,NA,1875,NA,1875,350,1875,350,"St Louis MO",-90.1994042,38.6270025,"Antebellum"
"4499",4499,2772,3705,"MO","St. Charles","St. Charles Catholic Library","Theo socy",1859,NA,1884,NA,1875,1716,1875,1716,"St. Charles MO",-90.4974359,38.7881062,"Antebellum"
"4500",4500,2406,3704,"MO","St. Charles","Library Assoc.","Socl",NA,1858,1858,NA,NA,0,NA,0,"St. Charles MO",-90.4974359,38.7881062,NA
"4501",4501,6347,3706,"MO","St. Charles","St. Charles College","Coll",1850,NA,1870,NA,1858,900,1858,900,"St. Charles MO",-90.4974359,38.7881062,"Antebellum"
"4502",4502,2774,3708,"MO","St. Joseph","Law Library","Law socl",1864,NA,1875,NA,1875,2000,1875,2000,"St. Joseph MO",-94.846681,39.7674578,NA
"4503",4503,5364,3707,"MO","St. Joseph","Carl Fuelling's Circulating Library","Comm",1867,NA,1875,NA,1875,6000,1875,6000,"St. Joseph MO",-94.846681,39.7674578,NA
"4504",4504,5363,3711,"MO","St. Joseph","Theodore Altona's Circulating Library","Comm",1866,NA,1884,NA,NA,0,NA,0,"St. Joseph MO",-94.846681,39.7674578,NA
"4505",4505,5362,3712,"MO","St. Joseph","Woolworth and Colt's Circulating Library","Comm",1875,NA,1875,NA,1875,1500,1875,1500,"St. Joseph MO",-94.846681,39.7674578,NA
"4506",4506,6322,3710,"MO","St. Joseph","St. Joseph College","Coll",1867,NA,1875,NA,1875,625,1875,625,"St. Joseph MO",-94.846681,39.7674578,NA
"4507",4507,4199,3709,"MO","St. Joseph's","Odd Fellows' Library","Frat",NA,1859,1859,NA,NA,0,NA,0,"St. Joseph's MO",-94.846681,39.7674578,NA
"4508",4508,7915,3743,"MO","St. Louis","St. Louis Public Library","Co edu",1865,NA,1915,NA,1865,1500,1870,11800,"St. Louis MO",-90.1994042,38.6270025,NA
"4509",4509,2407,3735,"MO","St. Louis","Public School Society of St. Louis","Socl",1865,NA,NA,1869,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4510",4510,3267,3727,"MO","St. Louis","Mercantile Library Assoc.","Merc",1846,NA,1915,NA,1847,1018,1875,42013,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4511",4511,3810,3723,"MO","St. Louis","Library of Free Democratic Association","Socy",NA,1859,1859,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4512",4512,3712,3757,"MO","St. Louis","YMCA","YMCA",1854,NA,1884,NA,1857,485,1857,485,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4513",4513,3456,3741,"MO","St. Louis","Lyceum","Lyceum",1839,NA,1859,NA,1851,2000,1851,2000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4514",4514,3232,3726,"MO","St. Louis","Mechanics' Institute","Mech",NA,NA,NA,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4515",4515,2408,3740,"MO","St. Louis","St. Louis Library Assoc.","Socl",1824,NA,NA,1839,1825,1106,1837,3000,"St. Louis MO",-90.1994042,38.6270025,"Early National"
"4516",4516,2409,12420,"MO","St. Louis","St. Louis Library Co.","Socl",NA,1819,1820,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4517",4517,2773,3722,"MO","St. Louis","St. Louis Law Library Assoc.","Law socl",1838,NA,1915,NA,1850,1500,1875,8000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4518",4518,7157,12421,"MO","St. Louis","St. Louis Reading Room","Read room",NA,1831,1831,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4519",4519,7156,12422,"MO","St. Louis","Washington Hall Reading Room","Read room",NA,1831,1831,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4520",4520,7155,12415,"MO","St. Louis","Kimball and Ward's Punch House and Reading Room","Read room",NA,1818,1818,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4521",4521,7154,12416,"MO","St. Louis","Missouri Advocate Reading Room","Read room",NA,1826,1826,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4522",4522,6352,3745,"MO","St. Louis","St. Louis University Library","Coll",1829,NA,1884,NA,1845,7900,1875,17000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4523",4523,7152,12418,"MO","St. Louis","Post Meridian Reading Room","Read room",NA,1828,NA,1829,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4524",4524,4797,3732,"MO","St. Louis","Mo. State Horticultural Society","Agri socl",1859,1867,1867,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4525",4525,6809,3739,"MO","St. Louis","St. Louis County Jail","Prison",1873,NA,1884,NA,1875,800,1875,800,"St. Louis MO",-90.1994042,38.6270025,NA
"4526",4526,7004,3720,"MO","St. Louis","House of Refuge","Asylum",1854,NA,1884,NA,1875,300,1875,300,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4527",4527,7006,3752,"MO","St. Louis","State Asylum for the Blind","Asylum",1851,NA,1858,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4528",4528,6324,3742,"MO","St. Louis","St. Louis Medical College","Med coll",1844,NA,1884,NA,1875,1100,1875,1100,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4529",4529,7153,12417,"MO","St. Louis","Missouri Gazette Reading Room","Read room",NA,1810,1810,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4530",4530,5802,3749,"MO","St. Louis","St. Louis University - Philenphradigne Society","Coll socy",NA,1850,1875,NA,1850,250,1851,200,"St. Louis MO",-90.1994042,38.6270025,NA
"4531",4531,6325,3738,"MO","St. Louis","St. Louis College of Pharmacy","Med coll",1865,NA,1875,NA,1875,250,1875,250,"St. Louis MO",-90.1994042,38.6270025,NA
"4532",4532,6327,3729,"MO","St. Louis","Missouri Dental College","Med coll",1866,NA,1875,NA,1875,300,1875,300,"St. Louis MO",-90.1994042,38.6270025,NA
"4533",4533,6328,3719,"MO","St. Louis","Homoeopathic Medical College","Med coll",1858,NA,1870,NA,1870,900,1870,900,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4534",4534,6331,3734,"MO","St. Louis","O'Fallon Polytechnic Institute","Sci eng coll",1854,NA,1859,NA,1858,2500,1858,2500,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4535",4535,6332,3717,"MO","St. Louis","German Evangelical Luthern Concordia College","Theo coll",1840,NA,1884,NA,1870,5000,1875,4800,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4536",4536,5805,3746,"MO","St. Louis","St. Louis Students' Library","Coll socy",1868,NA,1884,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4537",4537,6350,3721,"MO","St. Louis","Kempen College","Coll",1840,NA,1845,NA,1845,6400,1845,6400,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4538",4538,5803,3748,"MO","St. Louis","St. Louis Univ - Philalethic Society","Coll socy",1832,NA,1875,NA,1850,630,1857,630,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4539",4539,6351,3753,"MO","St. Louis","Washington University","Coll",1857,NA,1884,NA,1870,6000,1875,4500,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4540",4540,6334,3754,"MO","St. Louis","Washington University","Law coll",1867,NA,1898,NA,1875,3000,1875,3000,"St. Louis MO",-90.1994042,38.6270025,NA
"4541",4541,5358,12419,"MO","St. Louis","St. Louis Circulating Library","Comm",NA,1845,1845,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4542",4542,5359,12414,"MO","St. Louis","Franklin Circulating Library","Comm",1833,NA,1833,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4543",4543,6348,3715,"MO","St. Louis","College o the Christian Brothers","Coll",1860,NA,1895,NA,1870,5000,1875,22000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4544",4544,6349,3716,"MO","St. Louis","Eden College","Coll",1850,NA,1850,NA,1850,4500,1850,4500,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4545",4545,5360,3736,"MO","St. Louis","St. John Circulating Library","Comm",1872,NA,1875,NA,1875,600,1875,600,"St. Louis MO",-90.1994042,38.6270025,NA
"4546",4546,5361,3724,"MO","St. Louis","Woodward? Circulating Library","Comm",NA,1842,1842,NA,1842,10000,1842,10000,"St. Louis MO",-90.1994042,38.6270025,NA
"4547",4547,5804,3747,"MO","St. Louis","St. Loius University - Orthological Society","Coll socy",1840,NA,1875,NA,1850,200,1851,200,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4548",4548,4081,3750,"MO","St. Louis","St. Louis Vocalist Association","Socl",1847,NA,1857,NA,1857,1053,1857,1053,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4549",4549,4200,3725,"MO","St. Louis","Masonic Library","Frat",1856,NA,1884,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4550",4550,4080,3744,"MO","St. Louis","St. Louis Turnverein","Socl",1855,NA,1898,NA,1875,2000,1875,2000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4551",4551,4079,95124,"MO","St. Louis","Deutsches Institut fur Wissenschaft, Kunst und Gewerbe","Socl",1857,NA,1860,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4552",4552,7699,12413,"MO","St. Louis","Jefferson Barracks Post Library","Garr",NA,1870,1870,NA,1870,254,1870,254,"St. Louis MO",-90.1994042,38.6270025,NA
"4553",4553,7438,95184,"MO","St. Louis","St. Joseph's Church - Rozenkranz Bibliothek","Church",NA,1866,1866,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4554",4554,7437,3758,"MO","St. Louis","Young Men's Sodality","Church",1855,NA,1898,NA,1875,1327,1875,1327,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4555",4555,4497,3730,"MO","St. Louis","Missouri Historical Society","Hist socl",1866,NA,1915,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4556",4556,7701,3714,"MO","St. Louis","St. Louis Barracks - Cavalry Depot","Garr",1871,NA,1875,NA,1875,800,1875,800,"St. Louis MO",-90.1994042,38.6270025,NA
"4557",4557,7436,3737,"MO","St. Louis","St. Joseph's Church Residence Library","Church",1846,NA,1898,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4558",4558,4516,3713,"MO","St. Louis","Academy of Science","Sci eng socy",1856,NA,1915,NA,1857,300,1875,2744,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4559",4559,6326,3731,"MO","St. Louis","Missouri Medical College","Med coll",1840,NA,1876,NA,1875,1000,1875,1000,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4560",4560,4082,3751,"MO","St. Louis","South St. Louis Turnverein","Socl",1861,NA,1875,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,NA
"4561",4561,4517,3728,"MO","St. Louis","Missouri Botonical Garden Library","Sci eng socy",1852,NA,1915,NA,NA,0,NA,0,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4562",4562,4201,3733,"MO","St. Louis","Odd Fellows' Library","Frat",1868,NA,1897,NA,1875,4000,1875,4000,"St. Louis MO",-90.1994042,38.6270025,NA
"4563",4563,4518,3756,"MO","St. Louis","Western Academy of Natural Science","Sci eng socy",1837,NA,NA,1856,1856,120,1856,120,"St. Louis MO",-90.1994042,38.6270025,"Antebellum"
"4564",4564,2411,3761,"MO","Troy","Social Library","Socl",1821,NA,1884,NA,1875,407,1875,407,"Troy MO",-90.9806954,38.9794922,"Early National"
"4565",4565,1851,12392,"MS","Aberdeen","Aberdeen Circulating Library Society","Socl",1839,NA,1839,NA,NA,0,NA,0,"Aberdeen MS",-88.5436553,33.8251139,"Antebellum"
"4566",4566,1849,3619,"MS","Aberdeen","Library Assoc.","Socl",NA,1858,1859,NA,NA,0,NA,0,"Aberdeen MS",-88.5436553,33.8251139,NA
"4567",4567,3329,3620,"MS","Adams","Athenaeum","Athen",NA,NA,NA,NA,NA,0,NA,0,"Adams MS",-91.2891036,31.5305353,NA
"4568",4568,1852,12390,"MS","Attala County","Attala County Library Assoc.","Socl",1859,NA,1859,NA,NA,0,NA,0,"Attala County MS",-89.6251646,33.1683267,"Antebellum"
