Name,Organization,Year Elected,Status,Rank,State Born,Group
J.W. Allston,U.S. Army,1816,Member,2d Lieutenant,South Carolina,Seventh Regiment of Infantry
H.L. O'Neale,U.S. Army,1816,Member,2d Lieutenant,Georgia,Seventh Regiment of Infantry
R.H. Goodwyn,U.S. Army,1816,Member,2d Lieutenant,South Carolina,Seventh Regiment of Infantry
G. Leftwich,U.S. Army,1816,Member,2d Lieutenant,Virginia,Seventh Regiment of Infantry
R.W. Scott,U.S. Army,1816,Member,2d Lieutenant,Virginia,Seventh Regiment of Infantry
Lewis Lawshe,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Seventh Regiment of Infantry
Benjamin R. Christian,U.S. Army,1816,Member,2d Lieutenant,,Seventh Regiment of Infantry
Thomas Lawson,U.S. Army,1816,Member,Surgeon,Virginia,Seventh Regiment of Infantry
R.C. Walmsey,U.S. Army,1816,Member,Surgeon's Mate.,New York,Seventh Regiment of Infantry
Robert C. Nicholas,U.S. Army,1816,Member,Colonel,Virginia,Eighth Regiment of Infantry
William A. Timble,U.S. Army,1816,Member,Lieutenant Colonel,Kentucky,Eighth Regiment of Infantry
William Lawrence,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,,Eighth Regiment of Infantry
Uriah Blue,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Eighth Regiment of Infantry
J. Dorman,U.S. Army,1816,Member,Capt. & Maj. Bvt,,Eighth Regiment of Infantry
James McKeon,U.S. Army,1816,Member,Captain,Ireland,Eighth Regiment of Infantry
White Youngs,U.S. Army,1816,Member,Capt. & Maj. Bvt,,Eighth Regiment of Infantry
W. Davenport,U.S. Army,1816,Member,Captain,,Eighth Regiment of Infantry
Willis Foulk,U.S. Army,1816,Member,Captain,,Eighth Regiment of Infantry
A. Brownlow,U.S. Army,1816,Member,Captain,,Eighth Regiment of Infantry
L. Austin,U.S. Army,1816,Member,Capt. & Maj. Bvt,Massachusetts,Eighth Regiment of Infantry
Lewis Bissell,U.S. Army,1816,Member,Captain,Connecticut,Eighth Regiment of Infantry
Lewis B. Willis,U.S. Army,1816,Member,Captain,Virginia,Eighth Regiment of Infantry
David Riddle,U.S. Army,1816,Member,1st lt. & Maj. Bvt,Pennsylvania,Eighth Regiment of Infantry
T. Mountjoy,U.S. Army,1816,Member,1st Lieutenant,,Eighth Regiment of Infantry
Robert Houston,U.S. Army,1816,Member,1st Lieutenant,Virginia,Eighth Regiment of Infantry
J. Whistler,U.S. Army,1816,Member,1st Lieutenant,,Eighth Regiment of Infantry
Charles B. Hopkins,U.S. Army,1816,Member,1st Lieutenant,Pennsylvania,Eighth Regiment of Infantry
Thomas Wright,U.S. Army,1816,Member,1st Lieutenant,,Eighth Regiment of Infantry
John R. Guy,U.S. Army,1816,Member,1st Lieutenant,Maryland,Eighth Regiment of Infantry
William Arnold,U.S. Army,1816,Member,1st Lieutenant,,Eighth Regiment of Infantry
Luther Hand,U.S. Army,1816,Member,1st Lieutenant,,Eighth Regiment of Infantry
R.B. Hyde,U.S. Army,1816,Member,1st Lieutenant,Vermont,Eighth Regiment of Infantry
C. Stephens,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,,Eighth Regiment of Infantry
George Kennerly,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,,Eighth Regiment of Infantry
R. Humphreys,U.S. Army,1816,Member,2d Lieutenant,New York,Eighth Regiment of Infantry
T.C. Hindman,U.S. Army,1816,Member,2d Lieutenant,,Eighth Regiment of Infantry
Nathaniel Young,U.S. Army,1816,Member,2d Lieutenant,Delaware,Eighth Regiment of Infantry
G.R. Horter,U.S. Army,1816,Member,2d Lieutenant,,Eighth Regiment of Infantry
Samuel Riddle,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Eighth Regiment of Infantry
John Brady,U.S. Army,1816,Member,2d Lt. & 1st Lt. Bvt,Pennsylvania,Eighth Regiment of Infantry
John Maul,U.S. Army,1816,Member,2d Lieutenant,Pennsylvania,Eighth Regiment of Infantry
William Elgin,U.S. Army,1816,Member,2d lieutenant,Virginia,Eighth Regiment of Infantry
P.Woodbury,U.S. Army,1816,Member,Surgeon,New Hampshire,Eighth Regiment of Infantry
Clajon Reily,U.S. Army,1816,Member,Surgeon's Mate.,,Eighth Regiment of Infantry
S.C. Muir,U.S. Army,1816,Member,Surgeon's Mate.,Dist. Of Columbia,Eighth Regiment of Infantry
Thomas A. Smith,U.S. Army,1816,Member,Col. & Br. Gen. Bvt,Virginia,Rifle Regiment
Wm. S. Hamilton,U.S. Army,1816,Member,Lieutenant Colonel,North Carolina,Rifle Regiment
Talbot Chambers,U.S. Army,1816,Member,Maj. & Lt. Col. Bvt,Pennsylvania,Rifle Regiment
Willoughby Morgan,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Rifle Regiment
William Bradford,U.S. Army,1816,Member,Capt. & Maj. Bvt,Virginia,Rifle Regiment
Joseph Selden,U.S. Army,1816,Member,Capt. & Lt. Col. Bvt,Virginia,Rifle Regiment
Thomas Ramsey,U.S. Army,1816,Member,Captain,,Rifle Regiment
Joseph Kean,U.S. Army,1816,Member,Captain,,Rifle Regiment
W. Martin,U.S. Army,1816,Member,Captain,,Rifle Regiment
John O. Fallen,U.S. Army,1816,Member,Captain,Kentucky,Rifle Regiment
Benjamin Birdsall,U.S. Army,1816,Member,Capt. & Maj. Bvt,New York,Rifle Regiment
W.L. Dufphey,U.S. Army,1816,Member,Captain,,Rifle Regiment
Lewis Laval,U.S. Army,1816,Member,1st Lieutenant,South Carolina,Rifle Regiment
J.S. McIntosh,U.S. Army,1816,Member,1st Lieutenant,Georgia,Rifle Regiment
"J. Calhoun, Jun.",U.S. Army,1816,Member,1st Lieutenant,South Carolina,Rifle Regiment
J.H. Ballard,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
Lewellen Hickman,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
Stoughton Gantt,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
J.McGunnegle,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
S.V. Hamilton,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
J. Heddleston,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
W. Armstrong,U.S. Army,1816,Member,1st Lieutenant,,Rifle Regiment
Thomas Griffith,U.S. Army,1816,Member,2d Lieutenant,,Rifle Regiment
A. Harrison,U.S. Army,1816,Member,2d Lieutenant,,Rifle Regiment
John Hollingsworth,U.S. Army,1816,Member,2d Lieutenant,Virginia,Rifle Regiment
Bennet Riley,U.S. Army,1816,Member,2d Lieutenant,,Rifle Regiment
"W. Markle, Jun.",U.S. Army,1816,Member,2d Lieutenant,,Rifle Regiment
James S. Gray,U.S. Army,1816,Member,2d Lieutenant,Kentucky,Rifle Regiment
T.F. Smith,U.S. Army,1816,Member,2d Lieutenant,,Rifle Regiment
T.F. Hunt,U.S. Army,1816,Member,2d Lieutenant,North Carolina,Rifle Regiment
Samuel P. Hugo,U.S. Army,1816,Member,Surgeon,,Rifle Regiment
W.H. Pierson,U.S. Army,1816,Member,Surgeon's Mate.,New Jersey,Rifle Regiment
